time,value
3410,1.3776
3420,1.5498
3430,1.3776
3440,1.6071999999999995
3450,1.2628
3460,1.2628
3470,1.2054
3480,1.2054
3490,1.0906
3500,1.2054
3510,1.148
3520,1.3202
3530,1.0906
3540,1.2054
3550,1.2628
3560,1.0906
3570,1.0906
3580,1.2054
3590,1.148
3600,1.0906
3610,1.148
3620,1.0906
3630,1.0332
3640,1.0332
3650,0.7462
3660,0.9184
3670,0.9758
3680,0.7462
3690,0.861
3700,0.861
3710,0.7462
3720,0.8035999999999998
3730,0.6888
3740,0.7462
3750,0.6888
3760,0.9758
3770,0.861
3780,0.8035999999999998
3790,0.861
3800,0.7462
3810,0.6888
3820,0.861
3830,0.6888
3840,0.8035999999999998
3850,0.7462
3860,0.9184
3870,1.2054
3880,1.148
3890,0.9184
3900,0.8035999999999998
3910,0.9758
3920,1.2628
3930,1.435
3940,1.6071999999999995
3950,1.6646
3960,1.722
3970,1.7794
3980,1.8368
3990,1.8942
4000,2.0090000000000003
4010,2.0664
4020,2.1238
4030,2.2386
4040,2.1812
4050,2.2386
4060,2.296
4070,2.3534
4080,2.4108
4090,2.4108
4100,2.4108
4110,2.4108
4120,2.4108
4130,2.4682
4140,2.4108
4150,2.296
4160,2.1238
4170,1.8368
4180,1.435
4190,1.148
4200,1.0332
4210,1.0906
4220,1.0906
4230,0.9758
4240,0.8035999999999998
4250,0.6888
4260,0.574
4270,0.4017999999999999
4280,0.2296
4290,-0.1148
4300,-0.5166
4310,-0.9184
4320,-1.3776
4330,-1.5498
4340,-1.6071999999999995
4350,-1.5498
4360,-1.2628
4370,-1.3202
4380,-1.3776
4390,-1.2054
4400,-1.3776
4410,-1.435
4420,-1.4924000000000002
4430,-1.5498
4440,-1.435
4450,-1.5498
4460,-1.5498
4470,-1.435
4480,-1.435
4490,-1.6071999999999995
4500,-1.722
4510,-1.722
4520,-1.6646
4530,-1.722
4540,-1.7794
4550,-1.722
4560,-1.8368
4570,-1.722
4580,-1.722
4590,-1.8942
4600,-1.6071999999999995
4610,-1.435
4620,-1.5498
4630,-1.5498
4640,-1.5498
4650,-1.4924000000000002
4660,-1.5498
4670,-1.6071999999999995
4680,-1.8368
4690,-1.6071999999999995
4700,-1.5498
4710,-1.8368
4720,-1.5498
4730,-1.5498
4740,-1.5498
4750,-1.4924000000000002
4760,-1.4924000000000002
4770,-1.3202
4780,-1.4924000000000002
4790,-1.3776
4800,-1.435
4810,-1.6071999999999995
4820,-1.435
4830,-1.6646
4840,-1.3202
4850,-1.5498
4860,-1.2628
4870,-1.2628
4880,-1.2628
4890,-1.2054
4900,-1.2054
4910,-1.2628
4920,-1.2054
4930,-1.2628
4940,-1.0906
4950,-1.148
4960,-1.2054
4970,-0.9758
4980,-0.9758
4990,-1.0332
5000,-1.0906
5010,-1.0332
5020,-0.9758
5030,-0.9758
5040,-0.861
5050,-0.8035999999999998
5060,-0.8035999999999998
5070,-0.6888
5080,-0.6888
5090,-0.8035999999999998
5100,-0.6314
5110,-0.6888
5120,-0.5166
5130,-0.6314
5140,-0.861
5150,-0.7462
5160,-0.8035999999999998
5170,-0.7462
5180,-0.7462
5190,-0.6888
5200,-0.7462
5210,-0.9758
5220,-0.861
5230,-0.9758
5240,-0.7462
5250,-0.9184
5260,-0.861
5270,-0.861
5280,-1.0332
5290,-0.9758
5300,-0.6314
5310,-0.6888
5320,-0.8035999999999998
5330,-1.0332
5340,-1.2628
5350,-1.4924000000000002
5360,-1.5498
5370,-1.6646
5380,-1.722
5390,-1.7794
