time,value
7260,-1.148
7270,-0.7462
7280,-0.2296
7290,0.4017999999999999
7300,1.148
7310,1.435
7320,1.4924000000000002
7330,1.435
7340,1.0906
7350,1.148
7360,1.2054
7370,0.9758
7380,1.148
7390,1.2054
7400,1.2054
7410,1.148
7420,1.2628
7430,1.3776
7440,1.3776
7450,1.4924000000000002
7460,1.3202
7470,1.3776
7480,1.2628
7490,1.3202
7500,1.2054
7510,1.148
7520,1.2628
7530,1.148
7540,1.148
7550,1.0906
7560,1.0906
7570,1.2054
7580,1.0906
7590,1.148
7600,1.0906
7610,1.2054
7620,1.148
7630,1.2054
7640,1.0906
7650,1.2054
7660,1.0906
7670,1.0906
7680,1.0332
7690,1.2054
7700,1.0332
7710,1.0332
7720,0.9758
7730,1.0332
7740,0.9758
7750,1.0332
7760,0.861
7770,1.0906
7780,0.9758
7790,1.0332
7800,0.9184
7810,1.0332
7820,1.0332
7830,1.0906
7840,1.0906
7850,1.3202
7860,1.148
7870,1.0906
7880,1.0906
7890,1.148
7900,1.0906
7910,0.9758
7920,1.0332
7930,1.0906
7940,0.9758
7950,0.9758
7960,0.9184
7970,1.0906
7980,0.9758
7990,0.9758
8000,0.9184
8010,1.0906
8020,0.9758
8030,0.9758
8040,1.0332
8050,1.2054
8060,1.0906
8070,1.0332
8080,1.0332
8090,1.0906
8100,1.0906
8110,0.9758
8120,1.0906
8130,1.0906
8140,1.0332
8150,1.0332
8160,0.9758
8170,1.0906
8180,0.9758
8190,1.0332
8200,0.9184
8210,1.0332
8220,1.0332
8230,1.0332
8240,0.9184
8250,1.0906
8260,0.9758
8270,0.861
8280,0.861
8290,1.0906
8300,0.9758
8310,0.7462
8320,0.8035999999999998
8330,0.8035999999999998
8340,0.8035999999999998
8350,0.6888
8360,0.574
8370,0.574
8380,0.6314
8390,0.6888
8400,0.4592
8410,0.5166
8420,0.4017999999999999
8430,0.4592
8440,0.574
8450,0.4017999999999999
8460,0.4592
8470,0.5166
8480,0.6888
8490,0.4592
8500,0.6314
8510,0.574
8520,0.4592
8530,0.7462
8540,0.9758
8550,0.9758
8560,0.861
8570,0.574
8580,0.4592
8590,0.574
8600,0.7462
8610,0.9184
8620,0.861
8630,0.861
8640,0.861
8650,0.861
8660,0.9184
8670,0.9184
8680,0.9184
8690,0.9184
8700,0.9758
8710,0.9758
8720,1.0332
8730,1.0332
8740,1.0332
8750,1.0332
8760,1.0906
8770,1.0906
8780,1.0906
8790,1.148
8800,1.148
8810,1.148
8820,1.2054
8830,1.2054
8840,1.2054
8850,1.2054
8860,1.2054
8870,1.2628
8880,1.3202
8890,1.2628
8900,1.2628
8910,1.2628
8920,1.148
8930,1.0332
8940,0.9184
8950,0.574
8960,0.1722
8970,-0.287
8980,-0.9184
8990,-1.3776
9000,-1.4924000000000002
9010,-1.3776
9020,-1.0906
9030,-0.861
9040,-1.0906
9050,-1.0332
9060,-1.148
9070,-1.2054
9080,-1.2628
9090,-1.3202
9100,-1.3776
9110,-1.2054
9120,-1.2628
9130,-1.3202
9140,-1.3202
9150,-1.435
