time,value
10,0.6888
20,1.3202
30,1.3776
40,1.4924000000000002
50,1.6071999999999995
60,1.6071999999999995
70,1.6646
80,1.435
90,1.2628
100,1.2054
110,1.2054
120,1.3776
130,1.2628
140,1.3776
150,1.6071999999999995
160,1.6071999999999995
170,1.5498
180,1.3776
190,1.435
200,1.3202
210,1.3776
220,1.3776
230,1.4924000000000002
240,1.2054
250,1.3202
260,1.3776
270,1.3202
280,1.3776
290,1.148
300,1.2054
310,1.2628
320,1.2628
330,1.3202
340,1.2628
350,1.435
360,1.2628
370,1.148
380,1.2054
390,1.2628
400,1.3202
410,1.148
420,1.2628
430,1.3202
440,1.2628
450,1.2054
460,1.148
470,1.3202
480,1.2054
490,1.2054
500,1.0906
510,1.2628
520,1.2054
530,1.148
540,1.2054
550,1.2628
560,1.2054
570,1.2054
580,1.2054
590,1.2628
600,1.2628
610,1.148
620,1.2628
630,1.3202
640,1.3202
650,1.3202
660,1.2628
670,1.4924000000000002
680,1.3202
690,1.3202
700,1.2054
710,1.3202
720,1.2054
730,1.2054
740,1.2054
750,1.2628
760,1.2054
770,1.148
780,1.0906
790,1.2628
800,1.2054
810,1.148
820,1.2628
830,1.3202
840,1.3202
850,1.2628
860,1.2628
870,1.435
880,1.3776
890,1.2054
900,1.2628
910,1.3202
920,1.2628
930,1.2054
940,1.2628
950,1.3202
960,1.148
970,1.2054
980,1.148
990,1.2054
1000,1.2054
1010,1.0906
1020,1.0906
1030,1.0906
1040,1.2628
1050,1.0906
1060,0.9758
1070,0.9758
1080,1.0906
1090,1.0906
1100,0.861
1110,0.8035999999999998
1120,0.8035999999999998
1130,0.861
1140,0.9758
1150,0.9184
1160,0.9184
1170,0.7462
1180,0.6888
1190,0.8035999999999998
1200,0.861
1210,0.7462
1220,0.9184
1230,0.6888
1240,0.9758
1250,1.2054
1260,1.0906
1270,0.861
1280,0.9184
1290,1.0906
1300,1.3202
1310,1.5498
1320,1.7794
1330,1.8942
1340,2.0090000000000003
1350,2.0090000000000003
1360,2.0664
1370,2.1238
1380,2.1238
1390,2.1238
1400,2.1238
1410,2.1812
1420,2.0664
1430,1.8942
1440,1.722
1450,1.5498
1460,1.435
1470,1.435
1480,1.4924000000000002
1490,1.4924000000000002
1500,1.435
1510,1.3202
1520,1.435
1530,1.3776
1540,1.3202
1550,1.3202
1560,1.3202
1570,1.2054
1580,1.2054
1590,1.0906
1600,1.0906
1610,1.0906
1620,1.0906
1630,0.9758
1640,0.9758
1650,0.861
1660,0.7462
1670,0.4017999999999999
1680,0.1148
1690,-0.4017999999999999
1700,-0.861
1710,-1.435
1720,-1.4924000000000002
1730,-1.435
1740,-1.2628
1750,-1.435
1760,-1.4924000000000002
1770,-1.2628
1780,-1.3776
1790,-1.435
1800,-1.4924000000000002
1810,-1.5498
1820,-1.4924000000000002
1830,-1.5498
