time,value
81130,-0.861
81140,-0.9758
81150,-0.861
81160,-0.9758
81170,-0.861
81180,-0.861
81190,-0.8035999999999998
81200,-0.7462
81210,-0.5166
81220,-0.574
81230,-0.6314
81240,-0.574
81250,-0.5166
81260,-0.6314
81270,-0.574
81280,-0.574
81290,-0.5166
81300,-0.574
81310,-0.574
81320,-0.7462
81330,-0.6888
81340,-0.574
81350,-0.6314
81360,-0.6314
81370,-0.5166
81380,-0.574
81390,-0.6314
81400,-0.7462
81410,-0.6888
81420,-0.6314
81430,-0.861
81440,-0.8035999999999998
81450,-0.6314
81460,-0.6888
81470,-0.9184
81480,-1.148
81490,-1.3202
81500,-1.435
81510,-1.4924000000000002
81520,-1.435
81530,-1.5498
81540,-1.5498
81550,-1.6071999999999995
81560,-1.6646
81570,-1.722
81580,-1.8368
81590,-1.7794
81600,-1.9516
81610,-1.8942
81620,-1.9516
81630,-1.8942
81640,-2.0090000000000003
81650,-2.0090000000000003
81660,-2.0090000000000003
81670,-1.8942
81680,-1.9516
81690,-1.8942
81700,-1.8368
81710,-1.7794
81720,-1.5498
81730,-1.435
81740,-1.0332
81750,-0.9184
81760,-0.9184
81770,-0.9184
81780,-0.8035999999999998
81790,-0.8035999999999998
81800,-0.6888
81810,-0.6314
81820,-0.5166
81830,-0.287
81840,-0.1722
81850,0.0574
81860,0.4592
81870,0.9184
81880,1.2628
81890,1.435
81900,1.3776
81910,1.0332
81920,0.9184
81930,0.861
81940,0.9184
81950,0.9184
81960,1.2628
81970,1.2628
81980,1.2054
81990,1.3202
82000,1.3776
82010,1.2628
82020,1.2628
82030,1.2054
82040,1.2054
82050,1.3776
82060,1.435
82070,1.3776
82080,1.3202
82090,1.435
82100,1.6071999999999995
82110,1.4924000000000002
82120,1.6071999999999995
82130,1.435
82140,1.435
82150,1.4924000000000002
82160,1.3202
82170,1.2054
82180,1.2628
82190,1.3202
82200,1.3202
82210,1.3776
82220,1.3202
82230,1.3776
82240,1.6071999999999995
82250,1.3776
82260,1.2628
82270,1.4924000000000002
82280,1.2054
82290,1.2054
82300,1.3202
82310,1.2054
82320,1.3202
82330,1.2054
82340,1.3202
82350,1.2054
82360,1.2628
82370,1.2628
82380,1.148
82390,1.3776
82400,1.0332
82410,1.2054
82420,1.0906
82430,1.0906
82440,1.0906
82450,1.148
82460,1.0906
82470,1.0332
82480,1.0332
82490,1.0332
82500,0.9758
82510,0.9758
82520,1.0332
82530,0.9184
82540,0.7462
82550,0.7462
82560,0.9184
82570,0.8035999999999998
82580,0.7462
82590,0.8035999999999998
82600,0.7462
82610,0.574
82620,0.5166
82630,0.574
82640,0.6888
82650,0.6888
82660,0.6888
82670,0.574
82680,0.574
82690,0.5166
82700,0.6888
82710,0.6314
82720,0.7462
82730,0.574
82740,0.5166
82750,0.4017999999999999
82760,0.4592
82770,0.7462
82780,0.574
82790,0.6314
82800,0.574
82810,0.8035999999999998
82820,0.6314
82830,0.4592
82840,0.6314
82850,0.574
82860,0.5166
82870,0.5166
82880,0.6888
82890,0.8035999999999998
82900,0.9758
82910,1.148
82920,1.2628
82930,1.3776
82940,1.435
82950,1.3776
82960,1.435
82970,1.5498
82980,1.5498
82990,1.5498
83000,1.6071999999999995
83010,1.6071999999999995
83020,1.6071999999999995
83030,1.6646
83040,1.722
83050,1.6646
83060,1.6646
83070,1.6646
83080,1.4924000000000002
83090,1.3202
83100,1.148
83110,1.0332
83120,0.9184
83130,0.8035999999999998
83140,0.8035999999999998
83150,0.8035999999999998
83160,0.6888
83170,0.6888
83180,0.6888
83190,0.574
83200,0.4592
83210,0.3444
83220,0.4592
83230,0.3444
83240,0.1148
83250,0.0
83260,-0.2296
83270,-0.6888
83280,-1.0906
83290,-1.3202
83300,-1.3776
83310,-1.2054
83320,-0.9758
83330,-1.0906
83340,-1.2054
83350,-1.2628
83360,-1.0906
83370,-1.2628
83380,-1.0906
83390,-1.0332
83400,-1.2054
83410,-1.2628
83420,-1.3202
83430,-1.5498
83440,-1.435
83450,-1.3776
83460,-1.3776
83470,-1.3776
83480,-1.435
83490,-1.6071999999999995
83500,-1.722
83510,-1.722
83520,-1.4924000000000002
83530,-1.6646
83540,-1.6071999999999995
83550,-1.435
83560,-1.6646
83570,-1.4924000000000002
83580,-1.435
83590,-1.3202
83600,-1.3776
83610,-1.435
83620,-1.3776
83630,-1.435
83640,-1.5498
83650,-1.5498
83660,-1.5498
83670,-1.3776
83680,-1.4924000000000002
83690,-1.4924000000000002
83700,-1.435
83710,-1.3776
83720,-1.3202
83730,-1.3776
83740,-1.2628
83750,-1.2628
83760,-1.148
83770,-1.2054
83780,-1.2628
83790,-1.0906
83800,-1.2628
83810,-1.0906
83820,-1.3202
83830,-1.148
83840,-1.2628
83850,-1.0906
83860,-1.0906
83870,-0.9758
83880,-1.0906
83890,-0.9184
83900,-1.0332
83910,-0.861
83920,-0.9184
83930,-1.0332
83940,-0.861
83950,-0.9184
83960,-0.861
83970,-0.861
83980,-0.9758
83990,-0.9184
84000,-0.7462
84010,-0.861
84020,-0.6888
84030,-0.574
84040,-0.574
84050,-0.6888
84060,-0.574
84070,-0.574
84080,-0.6888
84090,-0.574
84100,-0.574
84110,-0.4592
84120,-0.6314
84130,-0.574
84140,-0.7462
84150,-0.7462
84160,-0.574
84170,-0.6314
84180,-0.574
84190,-0.5166
84200,-0.6888
84210,-0.6314
84220,-0.8035999999999998
84230,-0.6888
84240,-0.6314
84250,-0.861
84260,-0.8035999999999998
84270,-0.6314
84280,-0.6888
84290,-0.861
84300,-0.9758
84310,-1.2054
84320,-1.2628
84330,-1.3776
84340,-1.435
84350,-1.5498
84360,-1.6071999999999995
84370,-1.722
84380,-1.6071999999999995
84390,-1.6646
84400,-1.722
84410,-1.722
84420,-1.8368
84430,-1.7794
84440,-1.8368
84450,-1.8942
84460,-1.8942
84470,-1.8942
84480,-1.8942
84490,-1.8368
84500,-1.7794
