,CURRENT|3
0,4.61084
1,4.607422
2,4.614258
3,4.607422
4,4.609131
5,4.607422
6,4.605713
7,4.61084
8,4.605713
9,4.609131
10,4.61084
11,4.602295
12,4.604004
13,4.607422
14,4.600586
15,4.612549
16,4.602295
17,4.61084
18,4.605713
19,4.609131
20,4.604004
21,4.602295
22,4.604004
23,4.61084
24,4.605713
25,4.604004
26,4.609131
27,4.609131
28,4.609131
29,4.609131
30,4.607422
31,4.602295
32,4.609131
33,4.598877
34,4.605713
35,4.607422
36,4.604004
37,4.605713
38,4.605713
39,4.604004
40,4.609131
41,4.607422
42,4.615967
43,4.609131
44,4.61084
45,4.604004
46,4.607422
47,4.61084
48,4.609131
49,4.609131
50,4.609131
51,4.598877
52,4.607422
53,4.600586
54,4.609131
55,4.604004
56,4.607422
57,4.598877
58,4.605713
59,4.607422
60,4.612549
61,4.607422
62,4.607422
63,4.604004
64,4.614258
65,4.600586
66,4.605713
67,4.607422
68,4.605713
69,4.61084
70,4.609131
71,4.607422
72,4.61084
73,4.602295
74,4.607422
75,4.605713
76,4.605713
77,4.605713
78,4.61084
79,4.605713
80,4.614258
81,4.604004
82,4.605713
83,4.609131
84,4.605713
85,4.602295
86,4.61084
87,4.604004
88,4.612549
89,4.605713
90,4.61084
91,4.605713
92,4.612549
93,4.61084
94,4.607422
95,4.605713
96,4.602295
97,4.600586
98,4.615967
99,4.605713
100,4.607422
101,4.607422
102,4.607422
103,4.602295
104,4.609131
105,4.604004
106,4.604004
107,4.605713
108,4.61084
109,4.604004
110,4.607422
111,4.607422
112,4.614258
113,4.604004
114,4.609131
115,4.605713
116,4.61084
117,4.609131
118,4.605713
119,4.607422
120,4.607422
121,4.605713
122,4.61084
123,4.607422
124,4.605713
125,4.612549
126,4.607422
127,4.604004
128,4.609131
129,4.600586
130,4.612549
131,4.605713
132,4.605713
133,4.607422
134,4.609131
135,4.605713
136,4.61084
137,4.609131
138,4.605713
139,4.605713
140,4.607422
141,4.61084
142,4.602295
143,4.61084
144,4.604004
145,4.604004
146,4.605713
147,4.605713
148,4.600586
149,4.614258
150,4.605713
151,4.612549
152,4.604004
153,4.614258
154,4.604004
155,4.607422
156,4.602295
157,4.612549
158,4.605713
159,4.607422
160,4.614258
161,4.600586
162,4.612549
163,4.61084
164,4.602295
165,4.607422
166,4.61084
167,4.605713
168,4.607422
169,4.61084
170,4.605713
171,4.612549
172,4.605713
173,4.604004
174,4.607422
175,4.607422
176,4.607422
177,4.612549
178,4.600586
179,4.602295
180,4.612549
181,4.602295
182,4.607422
183,4.604004
184,4.609131
185,4.609131
186,4.605713
187,4.604004
188,4.61084
189,4.607422
190,4.607422
191,4.609131
192,4.605713
193,4.609131
194,4.604004
195,4.607422
196,4.612549
197,4.609131
198,4.604004
199,4.609131
200,4.600586
201,4.615967
202,4.61084
203,4.605713
204,4.612549
205,4.605713
206,4.61084
207,4.609131
208,4.602295
209,4.61084
210,4.614258
211,4.607422
212,4.607422
213,4.602295
214,4.61084
215,4.61084
216,4.612549
217,4.607422
218,4.602295
219,4.61084
220,4.604004
221,4.61084
222,4.607422
223,4.602295
224,4.598877
225,4.609131
226,4.605713
227,4.605713
228,4.602295
229,4.61084
230,4.609131
231,4.604004
232,4.607422
233,4.607422
234,4.605713
235,4.61084
236,4.609131
237,4.597168
238,4.612549
239,4.609131
240,4.607422
241,4.604004
242,4.600586
243,4.61084
244,4.604004
245,4.607422
246,4.609131
247,4.607422
248,4.61084
249,4.605713
250,4.607422
251,4.614258
252,4.605713
253,4.605713
254,4.607422
255,4.604004
256,4.61084
257,4.604004
258,4.615967
259,4.607422
260,4.604004
261,4.612549
262,4.607422
263,4.609131
264,4.605713
265,4.612549
266,4.605713
267,4.604004
268,4.602295
269,4.609131
270,4.605713
271,4.597168
272,4.609131
273,4.609131
274,4.605713
275,4.605713
276,4.617676
277,4.598877
278,4.607422
279,4.607422
280,4.612549
281,4.604004
282,4.607422
283,4.607422
284,4.617676
285,4.600586
286,4.617676
287,4.605713
288,4.614258
289,4.605713
290,4.600586
291,4.605713
292,4.612549
293,4.604004
294,4.61084
295,4.602295
296,4.614258
297,4.604004
298,4.61084
299,4.600586
300,4.609131
301,4.607422
302,4.61084
303,4.605713
304,4.609131
305,4.607422
306,4.612549
307,4.602295
308,4.604004
309,4.612549
310,4.61084
311,4.605713
312,4.614258
313,4.61084
314,4.600586
315,4.609131
316,4.61084
317,4.604004
318,4.617676
319,4.602295
320,4.609131
321,4.61084
322,4.605713
323,4.607422
324,4.607422
325,4.609131
326,4.607422
327,4.604004
328,4.607422
329,4.609131
330,4.605713
331,4.609131
332,4.605713
333,4.607422
334,4.609131
335,4.61084
336,4.604004
337,4.615967
338,4.607422
339,4.604004
340,4.61084
341,4.607422
342,4.609131
343,4.609131
344,4.605713
345,4.605713
346,4.604004
347,4.61084
348,4.604004
349,4.61084
350,4.605713
351,4.602295
352,4.612549
353,4.605713
354,4.602295
355,4.604004
356,4.607422
357,4.609131
358,4.609131
359,4.598877
360,4.609131
361,4.605713
362,4.609131
363,4.604004
364,4.609131
365,4.609131
366,4.605713
367,4.61084
368,4.61084
369,4.602295
370,4.604004
371,4.607422
372,4.605713
373,4.602295
374,4.61084
375,4.602295
376,4.607422
377,4.614258
