,CURRENT|3
0,5.053467
1,5.043213
2,5.051758
3,5.039795
4,5.050049
5,5.046631
6,5.041504
7,5.050049
8,5.046631
9,5.050049
10,5.043213
11,5.043213
12,5.043213
13,5.04834
14,5.044922
15,5.044922
16,5.04834
17,5.044922
18,5.041504
19,5.044922
20,5.046631
21,5.041504
22,5.046631
23,5.046631
24,5.041504
25,5.04834
26,5.051758
27,5.044922
28,5.043213
29,5.046631
30,5.044922
31,5.050049
32,5.039795
33,5.041504
34,5.04834
35,5.044922
36,5.04834
37,5.043213
38,5.039795
39,5.039795
40,5.053467
41,5.043213
42,5.04834
43,5.039795
44,5.046631
45,5.043213
46,5.041504
47,5.044922
48,5.046631
49,5.046631
50,5.039795
51,5.043213
52,5.043213
53,5.044922
54,5.04834
55,5.041504
56,5.044922
57,5.041504
58,5.04834
59,5.046631
60,5.04834
61,5.041504
62,5.043213
63,5.043213
64,5.044922
65,5.051758
66,5.044922
67,5.041504
68,5.044922
69,5.046631
70,5.04834
71,5.046631
72,5.051758
73,5.038086
74,5.04834
75,5.039795
76,5.044922
77,5.04834
78,5.04834
79,5.050049
80,5.041504
81,5.050049
82,5.050049
83,5.038086
84,5.041504
85,5.046631
86,5.044922
87,5.046631
88,5.046631
89,5.044922
90,5.051758
91,5.044922
92,5.039795
93,5.050049
94,5.043213
95,5.044922
96,5.046631
97,5.050049
98,5.043213
99,5.053467
100,5.043213
101,5.046631
102,5.038086
103,5.051758
104,5.043213
105,5.050049
106,5.041504
107,5.038086
108,5.051758
109,5.039795
110,5.051758
111,5.046631
112,5.046631
113,5.041504
114,5.046631
115,5.041504
116,5.051758
117,5.044922
118,5.043213
119,5.043213
120,5.051758
121,5.04834
122,5.043213
123,5.044922
124,5.046631
125,5.046631
126,5.043213
127,5.053467
128,5.039795
129,5.046631
130,5.043213
131,5.051758
132,5.04834
133,5.044922
134,5.043213
135,5.056885
136,5.050049
137,5.04834
138,5.055176
139,5.041504
140,5.046631
141,5.04834
142,5.044922
143,5.051758
144,5.041504
145,5.046631
146,5.043213
147,5.04834
148,5.050049
149,5.041504
150,5.043213
151,5.046631
152,5.041504
153,5.053467
154,5.041504
155,5.051758
156,5.041504
157,5.046631
158,5.044922
159,5.053467
160,5.041504
161,5.043213
162,5.043213
163,5.044922
164,5.046631
165,5.04834
166,5.043213
167,5.046631
168,5.050049
169,5.039795
170,5.04834
171,5.039795
172,5.050049
173,5.043213
174,5.043213
175,5.036377
176,5.039795
177,5.055176
178,5.038086
179,5.051758
180,5.041504
181,5.044922
182,5.038086
183,5.056885
184,5.039795
185,5.044922
186,5.044922
187,5.046631
188,5.041504
189,5.043213
190,5.04834
191,5.041504
192,5.036377
193,5.053467
194,5.044922
195,5.051758
196,5.046631
197,5.039795
198,5.053467
199,5.034668
200,5.050049
201,5.043213
202,5.043213
203,5.051758
204,5.038086
205,5.044922
206,5.046631
207,5.051758
208,5.044922
209,5.043213
210,5.044922
211,5.051758
212,5.041504
213,5.050049
214,5.036377
215,5.051758
216,5.046631
217,5.041504
218,5.041504
219,5.051758
220,5.041504
221,5.046631
222,5.04834
223,5.041504
224,5.044922
225,5.044922
226,5.044922
227,5.050049
228,5.044922
229,5.039795
230,5.055176
231,5.041504
232,5.044922
233,5.044922
234,5.04834
235,5.039795
236,5.04834
237,5.038086
238,5.044922
239,5.044922
240,5.043213
241,5.050049
242,5.050049
243,5.041504
244,5.04834
245,5.041504
246,5.051758
247,5.039795
248,5.050049
249,5.046631
250,5.044922
251,5.050049
252,5.043213
253,5.043213
254,5.04834
255,5.039795
256,5.041504
257,5.046631
258,5.04834
259,5.043213
260,5.046631
261,5.043213
262,5.050049
