,CURRENT|6
0,0.016113
1,0.016113
2,0.016113
3,0.016113
4,0.016113
5,0.016113
6,0.016113
7,0.016113
8,0.016113
9,0.016113
10,0.016113
11,0.016113
12,0.016113
13,0.016113
14,0.016113
15,0.016113
16,0.016113
17,0.016113
18,0.016113
19,0.016113
20,0.016113
21,0.016113
22,0.016113
23,0.016113
24,0.016113
25,0.016113
26,0.016113
27,0.016113
28,0.016113
29,0.016113
30,0.016113
31,0.016113
32,0.016113
33,0.016113
34,0.016113
35,0.016113
36,0.016113
37,0.016113
38,0.016113
39,0.016113
40,0.016113
41,0.016113
42,0.016113
43,0.016113
44,0.016113
45,0.016113
46,0.016113
47,0.016113
48,0.016113
49,0.016113
50,0.016113
51,0.016113
52,0.016113
53,0.016113
54,0.016113
55,0.016113
56,0.016113
57,0.016113
58,0.016113
59,0.016113
60,0.016113
61,0.016113
62,0.016113
63,0.016113
64,0.016113
65,0.016113
66,0.016113
67,0.016113
68,0.016113
69,0.016113
70,0.016113
71,0.016113
72,0.016113
73,0.016113
74,0.016113
75,0.016113
76,0.016113
77,0.016113
78,0.016113
79,0.016113
80,0.016113
81,0.016113
82,0.016113
83,0.016113
84,0.016113
85,0.016113
86,0.016113
87,0.016113
88,0.016113
89,0.016113
90,0.016113
91,0.016113
92,0.016113
93,0.016113
94,0.016113
95,0.016113
96,0.016113
97,0.016113
98,0.016113
99,0.016113
100,0.016113
101,0.016113
102,0.016113
103,0.016113
104,0.016113
105,0.016113
106,0.016113
107,0.016113
108,0.016113
109,0.016113
110,0.016113
111,0.016113
112,0.016113
113,0.016113
114,0.016113
115,0.016113
116,0.016113
117,0.016113
118,0.016113
119,0.016113
120,0.016113
121,0.016113
122,0.016113
123,0.016113
124,0.016113
125,0.016113
126,0.016113
127,0.016113
128,0.016113
129,0.016113
130,0.016113
131,0.016113
132,0.016113
133,0.016113
134,0.016113
135,0.016113
136,0.016113
137,0.016113
138,0.016113
139,0.016113
140,0.016113
141,0.016113
142,0.016113
143,0.016113
144,0.016113
145,0.016113
146,0.016113
147,0.016113
148,0.016113
149,0.016113
150,0.016113
151,0.016113
152,0.016113
153,0.016113
154,0.016113
155,0.016113
156,0.016113
157,0.016113
158,0.016113
159,0.016113
160,0.013428
161,0.016113
162,0.016113
163,0.016113
164,0.016113
165,0.013428
166,0.016113
167,0.013428
168,0.013428
169,0.013428
170,0.013428
171,0.013428
172,0.013428
173,0.013428
174,0.013428
175,0.013428
176,0.013428
177,0.013428
178,0.013428
179,0.013428
180,0.013428
181,0.013428
182,0.013428
183,0.013428
184,0.013428
185,0.013428
186,0.013428
187,0.013428
188,0.013428
189,0.013428
190,0.013428
191,0.013428
192,0.013428
193,0.013428
194,0.013428
195,0.013428
196,0.013428
197,0.013428
198,0.013428
199,0.013428
200,0.013428
201,0.013428
202,0.013428
203,0.013428
204,0.013428
205,0.013428
206,0.013428
207,0.013428
208,0.013428
209,0.013428
210,0.013428
211,0.013428
212,0.013428
213,0.013428
214,0.013428
215,0.013428
216,0.013428
217,0.013428
218,0.013428
219,0.013428
220,0.013428
221,0.013428
222,0.013428
223,0.013428
224,0.013428
225,0.013428
226,0.013428
227,0.013428
228,0.013428
229,0.013428
230,0.013428
231,0.013428
232,0.013428
233,0.013428
234,0.013428
235,0.013428
236,0.013428
237,0.013428
238,0.013428
239,0.013428
240,0.013428
241,0.013428
242,0.013428
243,0.013428
244,0.013428
245,0.013428
246,0.013428
247,0.013428
248,0.013428
249,0.013428
250,0.013428
251,0.013428
252,0.013428
253,0.013428
254,0.013428
255,0.013428
256,0.013428
257,0.013428
258,0.013428
259,0.013428
260,0.013428
261,0.013428
262,0.013428
263,0.013428
264,0.013428
265,0.013428
266,0.013428
267,0.013428
268,0.013428
269,0.013428
270,0.013428
271,0.013428
272,0.013428
273,0.013428
274,0.013428
275,0.013428
276,0.013428
277,0.013428
278,0.013428
279,0.013428
280,0.013428
281,0.013428
282,0.013428
283,0.013428
284,0.013428
285,0.013428
286,0.013428
287,0.013428
288,0.013428
289,0.013428
290,0.013428
291,0.013428
292,0.013428
293,0.013428
294,0.013428
295,0.013428
296,0.013428
297,0.013428
298,0.013428
299,0.013428
300,0.013428
301,0.013428
302,0.013428
303,0.013428
304,0.013428
305,0.013428
306,0.013428
307,0.013428
308,0.013428
309,0.013428
310,0.013428
311,0.013428
312,0.013428
313,0.013428
314,0.013428
315,0.013428
316,0.013428
317,0.013428
318,0.013428
319,0.013428
320,0.013428
321,0.013428
322,0.013428
323,0.013428
324,0.013428
325,0.013428
326,0.013428
327,0.013428
328,0.013428
329,0.013428
330,0.013428
331,0.013428
332,0.013428
333,0.013428
334,0.013428
335,0.013428
336,0.013428
337,0.013428
338,0.013428
339,0.013428
340,0.013428
341,0.013428
342,0.013428
343,0.013428
344,0.013428
345,0.013428
346,0.013428
347,0.013428
348,0.013428
349,0.013428
350,0.013428
351,0.013428
352,0.013428
353,0.013428
354,0.013428
355,0.013428
356,0.013428
357,0.013428
358,0.013428
359,0.013428
360,0.013428
361,0.013428
362,0.013428
363,0.013428
364,0.013428
365,0.013428
366,0.013428
367,0.013428
368,0.013428
369,0.013428
370,0.013428
371,0.013428
372,0.013428
373,0.013428
374,0.013428
375,0.013428
376,0.013428
377,0.013428
378,0.013428
379,0.013428
380,0.013428
381,0.013428
382,0.013428
383,0.013428
384,0.013428
385,0.013428
386,0.013428
387,0.013428
388,0.013428
389,0.013428
390,0.013428
391,0.013428
392,0.013428
393,0.013428
394,0.013428
395,0.013428
396,0.013428
397,0.013428
398,0.013428
399,0.013428
400,0.013428
401,0.013428
402,0.013428
403,0.013428
404,0.013428
405,0.013428
406,0.013428
407,0.013428
408,0.013428
409,0.013428
410,0.013428
411,0.013428
412,0.013428
413,0.013428
414,0.013428
415,0.013428
416,0.013428
417,0.013428
418,0.013428
419,0.013428
420,0.013428
421,0.013428
422,0.013428
423,0.013428
424,0.013428
425,0.013428
426,0.013428
427,0.013428
428,0.013428
429,0.013428
430,0.013428
431,0.013428
432,0.013428
433,0.013428
434,0.013428
435,0.013428
436,0.013428
437,0.013428
438,0.013428
439,0.013428
440,0.013428
441,0.013428
442,0.013428
443,0.013428
444,0.013428
445,0.013428
446,0.013428
447,0.013428
448,0.013428
449,0.013428
450,0.013428
451,0.013428
452,0.013428
453,0.013428
454,0.013428
455,0.013428
456,0.013428
457,0.013428
458,0.013428
459,0.013428
460,0.013428
461,0.013428
462,0.013428
463,0.013428
464,0.013428
465,0.013428
466,0.013428
467,0.013428
468,0.013428
469,0.013428
470,0.013428
471,0.013428
472,0.013428
473,0.013428
474,0.013428
475,0.013428
476,0.013428
477,0.013428
478,0.013428
479,0.013428
480,0.013428
481,0.013428
482,0.013428
483,0.013428
484,0.013428
485,0.013428
486,0.013428
487,0.013428
488,0.013428
489,0.013428
490,0.013428
491,0.013428
492,0.013428
493,0.013428
494,0.013428
495,0.013428
496,0.013428
497,0.013428
498,0.013428
499,0.013428
500,0.013428
501,0.013428
502,0.013428
503,0.013428
504,0.013428
505,0.013428
506,0.013428
507,0.013428
508,0.013428
509,0.013428
510,0.013428
511,0.013428
512,0.013428
513,0.013428
514,0.013428
515,0.013428
516,0.013428
517,0.013428
518,0.013428
519,0.013428
520,0.013428
521,0.013428
522,0.013428
523,0.013428
524,0.013428
525,0.013428
526,0.013428
527,0.013428
528,0.013428
529,0.013428
530,0.013428
531,0.013428
532,0.013428
533,0.013428
534,0.013428
535,0.013428
536,0.013428
537,0.013428
538,0.013428
539,0.013428
540,0.013428
541,0.013428
542,0.013428
543,0.013428
544,0.013428
545,0.013428
546,0.013428
547,0.013428
548,0.013428
549,0.013428
550,0.013428
551,0.013428
552,0.013428
553,0.013428
554,0.013428
555,0.013428
556,0.013428
557,0.013428
558,0.013428
559,0.013428
560,0.013428
561,0.013428
562,0.013428
563,0.013428
564,0.013428
565,0.013428
566,0.013428
567,0.013428
568,0.013428
569,0.013428
570,0.013428
571,0.013428
572,0.013428
573,0.013428
574,0.013428
575,0.013428
576,0.013428
577,0.013428
578,0.013428
579,0.013428
