,CURRENT|1
0,-0.191406
1,-0.21875
2,-0.187988
3,-0.20166
4,-0.208496
5,-0.187988
6,-0.211914
7,-0.20166
8,-0.193115
9,-0.21875
10,-0.191406
11,-0.205078
12,-0.210205
13,-0.189697
14,-0.217041
15,-0.199951
16,-0.196533
17,-0.21875
18,-0.194824
19,-0.208496
20,-0.211914
21,-0.191406
22,-0.217041
23,-0.205078
24,-0.196533
25,-0.222168
26,-0.194824
27,-0.208496
28,-0.217041
29,-0.193115
30,-0.217041
31,-0.206787
32,-0.196533
33,-0.223877
34,-0.198242
35,-0.208496
36,-0.21875
37,-0.193115
38,-0.21875
39,-0.211914
40,-0.199951
41,-0.220459
42,-0.203369
43,-0.208496
44,-0.222168
45,-0.196533
46,-0.21875
47,-0.213623
48,-0.199951
49,-0.225586
50,-0.203369
51,-0.210205
52,-0.222168
53,-0.198242
54,-0.21875
55,-0.215332
56,-0.20166
57,-0.225586
58,-0.205078
59,-0.210205
60,-0.225586
61,-0.198242
62,-0.222168
63,-0.217041
64,-0.20166
65,-0.227295
66,-0.206787
67,-0.210205
68,-0.227295
69,-0.20166
70,-0.222168
71,-0.220459
72,-0.20166
73,-0.227295
74,-0.210205
75,-0.210205
76,-0.227295
77,-0.20166
78,-0.220459
79,-0.223877
80,-0.20166
81,-0.227295
82,-0.213623
83,-0.208496
84,-0.230713
85,-0.206787
86,-0.21875
87,-0.223877
88,-0.20166
89,-0.227295
90,-0.215332
91,-0.208496
92,-0.230713
93,-0.206787
94,-0.21875
95,-0.227295
96,-0.205078
97,-0.227295
98,-0.21875
99,-0.208496
100,-0.230713
101,-0.208496
102,-0.217041
103,-0.229004
104,-0.205078
105,-0.227295
106,-0.220459
107,-0.208496
108,-0.232422
109,-0.211914
110,-0.215332
111,-0.230713
112,-0.206787
113,-0.229004
114,-0.222168
115,-0.208496
116,-0.232422
117,-0.211914
118,-0.217041
119,-0.232422
120,-0.206787
121,-0.225586
122,-0.225586
123,-0.205078
124,-0.234131
125,-0.211914
126,-0.213623
127,-0.232422
128,-0.206787
129,-0.223877
130,-0.227295
131,-0.205078
132,-0.23584
133,-0.213623
134,-0.213623
135,-0.23584
136,-0.206787
137,-0.227295
138,-0.225586
139,-0.206787
140,-0.234131
141,-0.217041
142,-0.211914
143,-0.23584
144,-0.208496
145,-0.222168
146,-0.230713
147,-0.206787
148,-0.232422
149,-0.21875
150,-0.211914
151,-0.237549
152,-0.211914
153,-0.222168
154,-0.232422
155,-0.206787
156,-0.232422
157,-0.220459
158,-0.211914
159,-0.23584
160,-0.210205
161,-0.222168
162,-0.230713
163,-0.206787
164,-0.234131
165,-0.222168
166,-0.211914
167,-0.23584
168,-0.211914
169,-0.220459
170,-0.232422
171,-0.206787
172,-0.232422
173,-0.222168
174,-0.211914
175,-0.239258
176,-0.213623
177,-0.222168
178,-0.232422
179,-0.208496
180,-0.234131
181,-0.223877
182,-0.211914
183,-0.237549
184,-0.213623
185,-0.222168
186,-0.234131
187,-0.208496
188,-0.232422
189,-0.227295
190,-0.211914
191,-0.239258
192,-0.217041
193,-0.222168
194,-0.23584
195,-0.211914
196,-0.232422
