,CURRENT|1
0,-0.032471
1,-0.030762
2,-0.032471
3,-0.032471
4,-0.032471
5,-0.030762
6,-0.032471
7,-0.032471
8,-0.030762
9,-0.030762
10,-0.032471
11,-0.032471
12,-0.032471
13,-0.032471
14,-0.032471
15,-0.03418
16,-0.029053
17,-0.032471
18,-0.03418
19,-0.032471
20,-0.030762
21,-0.032471
22,-0.032471
23,-0.032471
24,-0.032471
25,-0.032471
26,-0.032471
27,-0.035889
28,-0.032471
29,-0.032471
30,-0.03418
31,-0.03418
32,-0.032471
33,-0.03418
34,-0.032471
35,-0.03418
36,-0.032471
37,-0.035889
38,-0.032471
39,-0.03418
40,-0.030762
41,-0.032471
42,-0.03418
43,-0.03418
44,-0.03418
45,-0.032471
46,-0.03418
47,-0.032471
48,-0.03418
49,-0.032471
50,-0.03418
51,-0.03418
52,-0.03418
53,-0.032471
54,-0.035889
55,-0.032471
56,-0.035889
57,-0.030762
58,-0.037598
59,-0.032471
60,-0.035889
61,-0.032471
62,-0.037598
63,-0.030762
64,-0.037598
65,-0.030762
66,-0.03418
67,-0.032471
68,-0.035889
69,-0.03418
70,-0.03418
71,-0.035889
72,-0.035889
73,-0.035889
74,-0.032471
75,-0.035889
76,-0.032471
77,-0.039307
78,-0.03418
79,-0.037598
80,-0.03418
81,-0.037598
82,-0.030762
83,-0.039307
84,-0.032471
85,-0.037598
86,-0.035889
87,-0.035889
88,-0.035889
89,-0.03418
90,-0.037598
91,-0.03418
92,-0.037598
93,-0.03418
94,-0.039307
95,-0.03418
96,-0.039307
97,-0.03418
98,-0.039307
99,-0.03418
100,-0.041016
101,-0.03418
102,-0.042725
103,-0.035889
104,-0.039307
105,-0.039307
106,-0.037598
107,-0.039307
108,-0.039307
109,-0.039307
110,-0.039307
111,-0.037598
112,-0.039307
113,-0.039307
114,-0.041016
115,-0.041016
116,-0.041016
117,-0.041016
118,-0.041016
119,-0.041016
120,-0.041016
121,-0.041016
122,-0.041016
123,-0.041016
124,-0.042725
125,-0.042725
126,-0.042725
127,-0.042725
128,-0.042725
129,-0.042725
130,-0.044434
131,-0.044434
132,-0.044434
133,-0.044434
134,-0.044434
135,-0.044434
136,-0.044434
137,-0.044434
138,-0.044434
139,-0.044434
140,-0.044434
141,-0.042725
142,-0.047852
143,-0.044434
144,-0.046143
145,-0.047852
146,-0.046143
147,-0.046143
148,-0.046143
149,-0.047852
