,CURRENT|1
0,0.881836
1,0.866455
2,0.888672
3,0.871582
4,0.880127
5,0.85791
6,0.863037
7,0.902344
8,0.89209
9,0.866455
10,0.869873
11,0.917725
12,0.967285
13,0.955322
14,0.936523
15,0.917725
16,0.900635
17,0.92627
18,0.948486
19,0.912598
20,0.876709
21,0.869873
22,0.886963
23,0.863037
24,0.830566
25,0.859619
26,0.883545
27,0.936523
28,0.951904
29,0.929688
30,0.905762
31,0.89209
32,0.957031
33,0.957031
34,0.950195
35,0.955322
36,0.92627
37,0.957031
38,0.922852
39,0.912598
40,0.912598
41,0.905762
42,0.94165
43,0.90918
44,0.900635
45,0.868164
46,0.868164
47,0.907471
48,0.881836
49,0.859619
50,0.833984
51,0.822021
52,0.84082
53,0.842529
54,0.851074
55,0.863037
56,0.89209
57,0.94165
58,0.945068
59,0.910889
60,0.895508
61,0.904053
62,0.921143
63,0.922852
64,0.902344
65,0.883545
66,0.866455
67,0.89209
68,0.90918
69,0.875
70,0.866455
71,0.881836
72,0.916016
73,0.90918
74,0.885254
75,0.873291
76,0.864746
77,0.914307
78,0.912598
79,0.881836
80,0.868164
81,0.844238
82,0.900635
83,0.898926
84,0.856201
85,0.845947
86,0.869873
87,0.945068
88,0.933105
89,0.919434
90,0.893799
91,0.864746
92,0.898926
93,0.888672
94,0.85791
95,0.830566
96,0.833984
97,0.900635
98,0.898926
99,0.875
100,0.85791
101,0.878418
102,0.910889
103,0.916016
104,0.904053
105,0.890381
106,0.898926
107,0.936523
108,0.924561
109,0.876709
110,0.851074
111,0.849365
112,0.871582
113,0.866455
114,0.845947
115,0.84082
116,0.847656
117,0.904053
118,0.916016
119,0.893799
120,0.886963
121,0.881836
122,0.919434
123,0.898926
124,0.863037
125,0.85791
126,0.85791
127,0.90918
128,0.898926
129,0.876709
130,0.880127
131,0.883545
132,0.929688
133,0.914307
134,0.897217
135,0.888672
136,0.881836
137,0.919434
138,0.876709
139,0.837402
140,0.827148
141,0.835693
142,0.854492
143,0.84082
144,0.833984
145,0.818604
146,0.849365
147,0.924561
148,0.943359
149,0.919434
150,0.912598
151,0.917725
152,0.92627
153,0.907471
154,0.890381
155,0.890381
156,0.881836
157,0.90918
158,0.902344
159,0.866455
160,0.849365
161,0.852783
162,0.907471
163,0.912598
164,0.883545
165,0.881836
166,0.866455
167,0.90918
168,0.902344
169,0.875
170,0.842529
171,0.811768
172,0.851074
173,0.822021
174,0.804932
175,0.816895
176,0.854492
177,0.938232
178,0.962158
179,0.946777
180,0.905762
181,0.886963
182,0.916016
183,0.905762
184,0.90918
185,0.888672
186,0.875
187,0.888672
188,0.881836
189,0.863037
190,0.856201
191,0.880127
192,0.912598
193,0.934814
194,0.916016
195,0.886963
196,0.898926
197,0.933105
198,0.938232
199,0.910889
200,0.895508
201,0.869873
202,0.878418
203,0.851074
204,0.80835
205,0.825439
206,0.844238
207,0.910889
208,0.936523
209,0.914307
210,0.897217
211,0.875
212,0.919434
213,0.914307
214,0.878418
215,0.864746
216,0.847656
217,0.875
218,0.861328
219,0.851074
220,0.839111
221,0.863037
222,0.921143
223,0.910889
224,0.90918
225,0.880127
226,0.900635
227,0.977539
228,0.955322
229,0.92627
230,0.897217
231,0.888672
232,0.902344
233,0.878418
234,0.863037
235,0.847656
236,0.881836
237,0.938232
238,0.948486
239,0.921143
240,0.893799
241,0.90918
242,0.943359
243,0.945068
244,0.910889
245,0.888672
246,0.881836
247,0.907471
248,0.890381
249,0.863037
250,0.861328
251,0.866455
252,0.919434
253,0.92627
254,0.907471
255,0.904053
256,0.895508
257,0.936523
258,0.916016
259,0.861328
260,0.839111
261,0.810059
262,0.845947
263,0.82373
264,0.816895
265,0.827148
